name_coin,symbol_coin,id,uuid,number_of_markets,volume,market_cap,total_supply,price,percent_change_24hr,timestamp
Internet Computer (DFINITY),ICP,0,aMNLwaUbY,0,70478610,2584008495,0,5.954628469834792,-4.34,1682040365
Lido DAO Token,LDO,0,Pe93bIOD2,0,79623887,2549905666,0,2.179680910215237,-4.66,1682040365
Bitcoin Cash,BCH,0,ZlZpzOJo43mIo,0,148701283,2389623421,0,124.90583195707508,-1.75,1682040365
Immutable X,IMX,0,Z96jIvLU7,0,54478586,1980986091,0,0.9904930475806142,-5.72,1682040365
Stellar,XLM,0,f3iaFeCKEmkaZ,0,62454567,1953497782,0,0.09668137407757399,-2.17,1682040365
ARBITRUM,ARB,0,1Uo6s62Oc,0,1180905742,1870103783,0,1.4667480648119249,-4.78,1682040365
Filecoin,FIL,0,ymQub4fuB,0,262511429,1853369539,0,5.661353995686454,-2.67,1682040365
Huobi Token,HT,0,DXwP4wF9ksbBO,0,7599574,1848671315,0,3.697342647349759,-1.24,1682040365
Frax Share,FXS,0,3nNpuxHJ8,0,44945929,1609975350,0,9.205293484516247,1.19,1682040365
VeChain,VET,0,FEbS54wxo4oIl,0,84796156,1567151634,0,0.023474149683198223,-3.65,1682040365
Hedera,HBAR,0,jad286TjB,0,53199784,1550875238,0,0.06269145543498354,-1.55,1682040365
Trust Wallet Token,TWT,0,Hm3OlynlC,0,29017328,1526273671,0,1.2572290065470182,-2.73,1682040365
The Sandbox,SAND,0,pxtKbG5rg,0,79411643,1464978839,0,0.6241985839857701,-3.91,1682040365
Aptos,APT,0,HGYj5JCv5,0,218341038,1459944748,0,11.230344218404255,-2.97,1682040365
Frax,FRAX,0,KfWtaeV1W,0,3353457,1421609206,0,1.011863009515525,0.03,1682040365
Algorand,ALGO,0,TpHE2IShQw-sJ,0,162091770,1388457740,0,0.19203580377258425,-4.64,1682040365
WEMIX TOKEN,WEMIX,0,08CsQa-Ov,0,12843892,1356994408,0,1.3569944077222436,6.27,1682040365
EnergySwap,ENS,0,SbWqqTui-,0,6440756,1312088958,0,13.120889579244647,-3.30,1682040365
Decentraland,MANA,0,tEf7-dnwV3BXS,0,125987635,1311243457,0,0.5978733433367053,-4.47,1682040365
